                             realSum  room_shared  room_private  person_capacity  host_is_superhost     multi       biz  cleanliness_rating  guest_satisfaction_overall  bedrooms      dist  metro_dist  attr_index  attr_index_norm  rest_index  rest_index_norm       lng       lat
realSum                     1.000000    -0.035095     -0.171949         0.203077          -0.045478 -0.052926  0.037144           -0.006082                   -0.001888  0.221653 -0.044725   -0.061025    0.178228         0.292396    0.134722         0.144094 -0.173833  0.211805
room_shared                -0.035095     1.000000     -0.063533         0.035146          -0.027839 -0.016061  0.044406           -0.040097                   -0.027876 -0.021365  0.014144   -0.002868   -0.031458        -0.006137   -0.031297         0.005711 -0.027829  0.023304
room_private               -0.171949    -0.063533      1.000000        -0.499993          -0.049501  0.137026 -0.040198           -0.030983                   -0.033401 -0.155889  0.213351    0.101981   -0.022286         0.029140   -0.022343        -0.136846 -0.201709  0.140762
person_capacity             0.203077     0.035146     -0.499993         1.000000           0.031431 -0.054326  0.110668            0.003256                    0.005181  0.560627 -0.128488   -0.037267    0.028394        -0.050487    0.037330         0.038059  0.146848 -0.168265
host_is_superhost          -0.045478    -0.027839     -0.049501         0.031431           1.000000  0.097520 -0.108506            0.272376                    0.280062  0.024250 -0.056113   -0.000722   -0.026335        -0.088949   -0.035060        -0.018348  0.185748 -0.113811
multi                      -0.052926    -0.016061      0.137026        -0.054326           0.097520  1.000000 -0.470725            0.041064                    0.054254 -0.000659  0.033426    0.043365    0.006319        -0.041412    0.007051        -0.037402  0.041260 -0.034058
biz                         0.037144     0.044406     -0.040198         0.110668          -0.108506 -0.470725  1.000000           -0.107310                   -0.208160 -0.026741 -0.164767   -0.109153    0.114732         0.093720    0.137747         0.083999 -0.088943 -0.126433
cleanliness_rating         -0.006082    -0.040097     -0.030983         0.003256           0.272376  0.041064 -0.107310            1.000000                    0.714045  0.033489 -0.030202    0.010441   -0.025322        -0.075372   -0.031929        -0.005995  0.120379 -0.092502
guest_satisfaction_overall -0.001888    -0.027876     -0.033401         0.005181           0.280062  0.054254 -0.208160            0.714045                    1.000000  0.047573 -0.004178    0.029788   -0.050624        -0.074146   -0.069319        -0.008765  0.156079 -0.033957
bedrooms                    0.221653    -0.021365     -0.155889         0.560627           0.024250 -0.000659 -0.026741            0.033489                    0.047573  1.000000 -0.006262    0.044431   -0.011735        -0.063773   -0.014047        -0.057726  0.013688 -0.104694
dist                       -0.044725     0.014144      0.213351        -0.128488          -0.056113  0.033426 -0.164767           -0.030202                   -0.004178 -0.006262  1.000000    0.558064   -0.363088        -0.242862   -0.346653        -0.467791 -0.147424  0.405878
metro_dist                 -0.061025    -0.002868      0.101981        -0.037267          -0.000722  0.043365 -0.109153            0.010441                    0.029788  0.044431  0.558064    1.000000   -0.168010        -0.219587   -0.138876        -0.259654 -0.069506  0.086424
attr_index                  0.178228    -0.031458     -0.022286         0.028394          -0.026335  0.006319  0.114732           -0.025322                   -0.050624 -0.011735 -0.363088   -0.168010    1.000000         0.714847    0.850229         0.544403 -0.126942 -0.052438
attr_index_norm             0.292396    -0.006137      0.029140        -0.050487          -0.088949 -0.041412  0.093720           -0.075372                   -0.074146 -0.063773 -0.242862   -0.219587    0.714847         1.000000    0.527623         0.472143 -0.221591  0.435237
rest_index                  0.134722    -0.031297     -0.022343         0.037330          -0.035060  0.007051  0.137747           -0.031929                   -0.069319 -0.014047 -0.346653   -0.138876    0.850229         0.527623    1.000000         0.617970 -0.176704 -0.113163
rest_index_norm             0.144094     0.005711     -0.136846         0.038059          -0.018348 -0.037402  0.083999           -0.005995                   -0.008765 -0.057726 -0.467791   -0.259654    0.544403         0.472143    0.617970         1.000000 -0.134731  0.023698
lng                        -0.173833    -0.027829     -0.201709         0.146848           0.185748  0.041260 -0.088943            0.120379                    0.156079  0.013688 -0.147424   -0.069506   -0.126942        -0.221591   -0.176704        -0.134731  1.000000 -0.159214
lat                         0.211805     0.023304      0.140762        -0.168265          -0.113811 -0.034058 -0.126433           -0.092502                   -0.033957 -0.104694  0.405878    0.086424   -0.052438         0.435237   -0.113163         0.023698 -0.159214  1.000000
